country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,2002,male,55-74 years,348,3991819,8.72,Mexico2002,,"772,106,378,935",8357,Silent
Mexico,2002,male,35-54 years,824,9900926,8.32,Mexico2002,,"772,106,378,935",8357,Boomers
Mexico,2002,female,15-24 years,260,10166352,2.56,Mexico2002,,"772,106,378,935",8357,Millenials
Mexico,2002,female,35-54 years,158,10409349,1.52,Mexico2002,,"772,106,378,935",8357,Boomers
Mexico,2002,female,25-34 years,119,9124293,1.3,Mexico2002,,"772,106,378,935",8357,Generation X
Mexico,2002,female,55-74 years,46,4401799,1.05,Mexico2002,,"772,106,378,935",8357,Silent
Mexico,2002,male,5-14 years,103,11684250,0.88,Mexico2002,,"772,106,378,935",8357,Millenials
Mexico,2002,female,75+ years,10,1227458,0.81,Mexico2002,,"772,106,378,935",8357,Silent
Mexico,2002,female,5-14 years,63,11292233,0.56,Mexico2002,,"772,106,378,935",8357,Millenials
Mexico,2003,male,75+ years,151,901495,16.75,Mexico2003,,"729,336,319,677",7779,Silent
Mexico,2003,male,25-34 years,911,9114537,10,Mexico2003,,"729,336,319,677",7779,Generation X
Mexico,2003,male,55-74 years,385,4100347,9.39,Mexico2003,,"729,336,319,677",7779,Silent
Mexico,2003,male,15-24 years,953,10408446,9.16,Mexico2003,,"729,336,319,677",7779,Millenials
Mexico,2003,male,35-54 years,885,10201542,8.68,Mexico2003,,"729,336,319,677",7779,Boomers
Mexico,2003,female,15-24 years,280,10156204,2.76,Mexico2003,,"729,336,319,677",7779,Millenials
Mexico,2003,female,35-54 years,171,10765671,1.59,Mexico2003,,"729,336,319,677",7779,Boomers
Mexico,2003,female,25-34 years,125,9280350,1.35,Mexico2003,,"729,336,319,677",7779,Generation X
Mexico,2003,female,55-74 years,55,4489997,1.22,Mexico2003,,"729,336,319,677",7779,Silent
Mexico,2003,female,75+ years,11,1276432,0.86,Mexico2003,,"729,336,319,677",7779,Silent
Mexico,2003,male,5-14 years,91,11723507,0.78,Mexico2003,,"729,336,319,677",7779,Millenials
Mexico,2003,female,5-14 years,52,11340331,0.46,Mexico2003,,"729,336,319,677",7779,Millenials
Mexico,2004,male,75+ years,140,932624,15.01,Mexico2004,,"782,240,601,985",8217,Silent
Mexico,2004,male,25-34 years,885,9254521,9.56,Mexico2004,,"782,240,601,985",8217,Generation X
Mexico,2004,male,55-74 years,390,4227720,9.22,Mexico2004,,"782,240,601,985",8217,Silent
Mexico,2004,male,15-24 years,942,10447031,9.02,Mexico2004,,"782,240,601,985",8217,Millenials
Mexico,2004,male,35-54 years,926,10528424,8.8,Mexico2004,,"782,240,601,985",8217,Boomers
Mexico,2004,female,15-24 years,238,10169971,2.34,Mexico2004,,"782,240,601,985",8217,Millenials
Mexico,2004,female,25-34 years,158,9394059,1.68,Mexico2004,,"782,240,601,985",8217,Generation X
Mexico,2004,female,55-74 years,67,4599859,1.46,Mexico2004,,"782,240,601,985",8217,Silent
Mexico,2004,female,35-54 years,148,11144750,1.33,Mexico2004,,"782,240,601,985",8217,Boomers
Mexico,2004,female,75+ years,14,1326483,1.06,Mexico2004,,"782,240,601,985",8217,Silent
Mexico,2004,male,5-14 years,98,11772473,0.83,Mexico2004,,"782,240,601,985",8217,Millenials
Mexico,2004,female,5-14 years,50,11395153,0.44,Mexico2004,,"782,240,601,985",8217,Millenials
Mexico,2005,male,75+ years,154,963447,15.98,Mexico2005,0.722,"877,476,221,382",9071,Silent
Mexico,2005,male,25-34 years,956,9355305,10.22,Mexico2005,0.722,"877,476,221,382",9071,Generation X
Mexico,2005,male,35-54 years,1018,10888804,9.35,Mexico2005,0.722,"877,476,221,382",9071,Boomers
Mexico,2005,male,15-24 years,943,10509381,8.97,Mexico2005,0.722,"877,476,221,382",9071,Millenials
Mexico,2005,male,55-74 years,375,4380597,8.56,Mexico2005,0.722,"877,476,221,382",9071,Silent
Mexico,2005,female,15-24 years,272,10208805,2.66,Mexico2005,0.722,"877,476,221,382",9071,Millenials
Mexico,2005,female,25-34 years,159,9465920,1.68,Mexico2005,0.722,"877,476,221,382",9071,Generation X
Mexico,2005,female,35-54 years,177,11550016,1.53,Mexico2005,0.722,"877,476,221,382",9071,Boomers
Mexico,2005,female,55-74 years,54,4739632,1.14,Mexico2005,0.722,"877,476,221,382",9071,Silent
Mexico,2005,male,5-14 years,98,11833699,0.83,Mexico2005,0.722,"877,476,221,382",9071,Millenials
Mexico,2005,female,75+ years,11,1378312,0.8,Mexico2005,0.722,"877,476,221,382",9071,Silent
Mexico,2005,female,5-14 years,57,11456090,0.5,Mexico2005,0.722,"877,476,221,382",9071,Millenials
Mexico,2006,male,75+ years,139,1009855,13.76,Mexico2006,,"975,387,131,716",9906,Silent
Mexico,2006,male,25-34 years,928,9459323,9.81,Mexico2006,,"975,387,131,716",9906,Generation X
Mexico,2006,male,55-74 years,419,4535133,9.24,Mexico2006,,"975,387,131,716",9906,Silent
Mexico,2006,male,35-54 years,995,11286802,8.82,Mexico2006,,"975,387,131,716",9906,Boomers
Mexico,2006,male,15-24 years,926,10624582,8.72,Mexico2006,,"975,387,131,716",9906,Millenials
Mexico,2006,female,15-24 years,287,10309008,2.78,Mexico2006,,"975,387,131,716",9906,Millenials
Mexico,2006,female,25-34 years,137,9546600,1.44,Mexico2006,,"975,387,131,716",9906,Generation X
Mexico,2006,female,35-54 years,161,11985917,1.34,Mexico2006,,"975,387,131,716",9906,Boomers
Mexico,2006,female,55-74 years,52,4886682,1.06,Mexico2006,,"975,387,131,716",9906,Silent
Mexico,2006,male,5-14 years,114,11875780,0.96,Mexico2006,,"975,387,131,716",9906,Millenials
Mexico,2006,female,75+ years,11,1441037,0.76,Mexico2006,,"975,387,131,716",9906,Silent
